"№ п/п, № Отчета","Наименование объекта","Адрес объекта","Цель испытаний","Дата выполнения работ","Исполнители работ","Наименование заказчика",Электроустановка,"Среднее время заполнения линии (минуты)","Количество щитов","Наличие цепи: кол-во точек","Сопротивление изоляции: кол-во линий","Фаза-нуль: количество линий","УЗО: Количество УЗО","Автоматы: Количество Автоматов","Заземлителей: Кол-во ЗУ","Молниезащита: Кол-во МЗ","Затраченное время общее (минуты)","Затраченное время Планшетное (минуты)","Затраченное время Вебверсия (минуты)","Затраченное эффективное время общее (минуты)","Затраченное эффективное время Планшетное (минуты)","Затраченное эффективное время Вебверсия (минуты)","Среднее время межу щитами общее (минуты)","Среднее время межу щитами Планшетное (минуты)","Среднее время межу щитами Вебверсия (минуты)","Время старта","Время окончания",Инженер
06.12.21-3.7,"Домик управляющего","Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-06,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",1.3846153846154,5,16,12,12,-,-,1,-,48,42,6,36,30,6,0.85714285714286,0.85714285714286,-,"2021-12-06 08:11","2021-12-10 11:51","Доплер Антон"
06.12.21-3.8,"Мамонтовская прачечная","Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-06,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",0.43478260869565,2,8,6,6,-,-,-,-,10,4,6,10,4,6,-,-,-,"2021-12-06 12:28","2021-12-10 12:06","Доплер Антон"
07.12.21-3.9,"Поленовская дача","Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-07,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",1.2916666666667,2,32,19,19,-,-,1,-,3200,15,3185,31,15,16,633.8,-,633.8,"2021-12-07 07:07","2021-12-10 12:07","Доплер Антон"
07.12.21-3.10,"Русские художники ХХ века в Абрамцево, Топочная №2","Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-07,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",1.8378378378378,10,120,90,88,-,-,2,-,3067,285,2782,204,113,91,70.858333333333,3.5833333333333,67.275,"2021-12-07 07:15","2021-12-10 12:10","Доплер Антон"
07.12.21-3.11,"ВРУ Главный вход (ЩР-Я)","Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-07,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",1.0294117647059,5,22,8,6,-,-,-,-,35,29,6,35,29,6,-,-,-,"2021-12-07 07:52","2021-12-10 12:12","Доплер Антон"
07.12.21-3.12,"Главный усадебный дом","Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-07,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",1.289156626506,10,80,57,59,-,-,2,-,282,275,7,107,100,7,3.8888888888889,3.8888888888889,-,"2021-12-07 08:11","2021-12-10 12:13","Доплер Антон"
07.12.21-3.13,Студия-мастерская,"Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-07,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",1.8095238095238,3,29,16,16,-,-,1,-,38,32,6,38,32,6,-,-,-,"2021-12-07 13:06","2021-12-10 12:14","Доплер Антон"
07.12.21-3.14,Ледник,"Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-07,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",0.4,3,10,5,3,-,-,-,-,8,8,-,8,8,-,-,-,-,"2021-12-07 14:37","2021-12-10 12:16","Доплер Антон"
07.12.21-3.15,Кухня,"Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-07,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",1.8235294117647,3,21,14,14,-,-,-,-,31,12,19,31,12,19,-,-,-,"2021-12-07 14:43","2021-12-10 12:17","Доплер Антон"
07.12.21-3.16,Людская,"Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-07,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",1.2307692307692,3,25,20,20,-,-,-,-,32,17,15,32,17,15,-,-,-,"2021-12-07 14:49","2021-12-10 12:17","Доплер Антон"
08.12.21-3.17,"Церковь Спаса Нерукотворного","Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-08,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",2.4615384615385,2,7,11,9,-,-,1,-,7423,266,7157,32,18,14,1810.55,24.8,1785.75,"2021-12-08 07:27","2021-12-15 11:30","Доплер Антон"
08.12.21-3.18,Баня-теремок,"Московская область, Сергиево-Посадский р-н, г.п. Хотьково, с. Абрамцево, ул. Музейная, д. 1. ",Эксплуатационные,2021-12-08,"Рязанов А.В., Доплер А.Э., Еселевский И.А.","Федеральное государственное бюджетное учреждение культуры «Государственный  историко-художественный и литературный Музей-заповедник «Абрамцево» ","Новая - Удовлетворительно",1,2,11,7,7,-,-,1,-,21,13,8,21,13,8,-,-,-,"2021-12-08 08:18","2021-12-15 09:36","Доплер Антон"
